CountryName,Date,PredictedDailyNewCases,PredictedDailyQuantile25,PredictedDailyQuantile75
Albania,2021-03-09,1130,962,1577
Albania,2021-03-10,1130,958,1595
Albania,2021-03-11,1131,953,1613
Albania,2021-03-12,1131,949,1631
Albania,2021-03-13,1131,944,1648
Albania,2021-03-14,1131,939,1666
Albania,2021-03-15,1131,934,1684
Albania,2021-03-16,1131,929,1702
Albania,2021-03-17,1130,924,1719
Albania,2021-03-18,1130,918,1737
Albania,2021-03-19,1129,913,1754
Albania,2021-03-20,1128,907,1771
Albania,2021-03-21,1127,902,1789
Algeria,2021-02-19,288,288,303
Algeria,2021-02-20,288,288,304
Algeria,2021-02-21,287,287,305
Algeria,2021-02-22,287,287,305
Algeria,2021-02-23,286,286,306
Algeria,2021-02-24,285,285,306
Algeria,2021-02-25,284,284,307
Algeria,2021-02-26,284,284,307
Algeria,2021-02-27,283,283,307
Algeria,2021-02-28,282,282,307
Algeria,2021-03-01,281,281,308
Algeria,2021-03-02,280,280,308
Algeria,2021-03-03,279,279,308
Algeria,2021-03-04,278,278,308
Algeria,2021-03-05,277,277,308
Algeria,2021-03-06,276,276,308
Algeria,2021-03-07,275,275,308
Algeria,2021-03-08,273,273,308
Algeria,2021-03-09,272,272,308
Algeria,2021-03-10,271,271,307
Algeria,2021-03-11,270,270,307
Algeria,2021-03-12,268,268,307
Algeria,2021-03-13,267,267,306
Algeria,2021-03-14,266,266,306
Algeria,2021-03-15,264,264,306
Algeria,2021-03-16,263,263,305
Algeria,2021-03-17,261,261,305
Algeria,2021-03-18,260,260,304
Algeria,2021-03-19,258,258,303
Algeria,2021-03-20,256,256,303
Algeria,2021-03-21,255,255,302
Andorra,2021-02-19,44,43,45
Andorra,2021-02-20,44,42,45
Andorra,2021-02-21,44,42,45
Andorra,2021-02-22,44,42,44
Andorra,2021-02-23,44,42,44
Andorra,2021-02-24,44,42,44
Andorra,2021-02-25,44,41,44
Andorra,2021-02-26,44,41,44
Andorra,2021-02-27,43,41,44
Andorra,2021-02-28,43,40,44
Andorra,2021-03-01,43,40,44
Andorra,2021-03-02,43,40,44
Andorra,2021-03-03,43,40,43
Andorra,2021-03-04,43,39,43
Andorra,2021-03-05,42,39,43
Andorra,2021-03-06,42,39,43
Andorra,2021-03-07,42,39,43
Andorra,2021-03-08,42,38,43
Andorra,2021-03-09,42,38,42
Andorra,2021-03-10,41,38,42
Andorra,2021-03-11,41,37,42
Andorra,2021-03-12,41,37,42
Andorra,2021-03-13,41,37,42
Andorra,2021-03-14,41,36,41
Andorra,2021-03-15,40,36,41
Andorra,2021-03-16,40,36,41
Andorra,2021-03-17,40,35,41
Andorra,2021-03-18,40,35,41
Andorra,2021-03-19,39,35,40
Andorra,2021-03-20,39,34,40
Andorra,2021-03-21,39,34,40
Angola,2021-02-19,41,41,41
Angola,2021-02-20,41,41,41
Angola,2021-02-21,41,41,41
Angola,2021-02-22,41,41,41
Angola,2021-02-23,41,41,41
Angola,2021-02-24,40,40,41
Angola,2021-02-25,40,40,41
Angola,2021-02-26,40,40,41
Angola,2021-02-27,40,40,41
Angola,2021-02-28,40,40,41
Angola,2021-03-01,40,40,41
Angola,2021-03-02,40,40,40
Angola,2021-03-03,40,40,40
Angola,2021-03-04,39,39,40
Angola,2021-03-05,39,39,40
Angola,2021-03-06,39,39,40
Angola,2021-03-07,39,39,40
Angola,2021-03-08,39,39,40
Angola,2021-03-09,38,38,39
Angola,2021-03-10,38,38,39
Angola,2021-03-11,38,38,39
Angola,2021-03-12,38,38,39
Angola,2021-03-13,38,38,39
Angola,2021-03-14,37,37,38
Angola,2021-03-15,37,37,38
Angola,2021-03-16,37,37,38
Angola,2021-03-17,37,37,38
Angola,2021-03-18,37,37,38
Angola,2021-03-19,36,36,37
Angola,2021-03-20,36,36,37
Angola,2021-03-21,36,36,37
Argentina,2021-02-19,7505,7505,8051
Argentina,2021-02-20,7491,7491,8081
Argentina,2021-02-21,7476,7476,8110
Argentina,2021-02-22,7460,7460,8138
Argentina,2021-02-23,7443,7443,8165
Argentina,2021-02-24,7424,7424,8191
Argentina,2021-02-25,7405,7405,8216
Argentina,2021-02-26,7384,7384,8240
Argentina,2021-02-27,7363,7363,8264
Argentina,2021-02-28,7340,7340,8286
Argentina,2021-03-01,7316,7316,8307
Argentina,2021-03-02,7292,7292,8328
Argentina,2021-03-03,7266,7266,8347
Argentina,2021-03-04,7239,7239,8366
Argentina,2021-03-05,7212,7212,8383
Argentina,2021-03-06,7183,7183,8399
Argentina,2021-03-07,7153,7153,8415
Argentina,2021-03-08,7123,7123,8429
Argentina,2021-03-09,7091,7091,8442
Argentina,2021-03-10,7059,7059,8454
Argentina,2021-03-11,7026,7026,8465
Argentina,2021-03-12,6992,6992,8476
Argentina,2021-03-13,6956,6956,8485
Argentina,2021-03-14,6921,6921,8493
Argentina,2021-03-15,6884,6884,8500
Argentina,2021-03-16,6846,6846,8505
Argentina,2021-03-17,6808,6808,8510
Argentina,2021-03-18,6768,6768,8514
Argentina,2021-03-19,6728,6728,8517
Argentina,2021-03-20,6688,6688,8518
Argentina,2021-03-21,6646,6646,8519
Aruba,2021-02-19,36,36,40
Aruba,2021-02-20,36,36,41
Aruba,2021-02-21,36,36,41
Aruba,2021-02-22,36,36,41
Aruba,2021-02-23,36,36,41
Aruba,2021-02-24,36,36,42
Aruba,2021-02-25,36,36,42
Aruba,2021-02-26,36,36,42
Aruba,2021-02-27,36,36,42
Aruba,2021-02-28,35,35,42
Aruba,2021-03-01,35,35,43
Aruba,2021-03-02,35,35,43
Aruba,2021-03-03,35,35,43
Aruba,2021-03-04,35,35,43
Aruba,2021-03-05,35,35,43
Aruba,2021-03-06,35,35,44
Aruba,2021-03-07,34,34,44
Aruba,2021-03-08,34,34,44
Aruba,2021-03-09,34,34,44
Aruba,2021-03-10,34,34,44
Aruba,2021-03-11,34,34,44
Aruba,2021-03-12,34,34,44
Aruba,2021-03-13,33,33,45
Aruba,2021-03-14,33,33,45
Aruba,2021-03-15,33,33,45
Aruba,2021-03-16,33,33,45
Aruba,2021-03-17,33,33,45
Aruba,2021-03-18,32,32,45
Aruba,2021-03-19,32,32,45
Aruba,2021-03-20,32,32,45
Aruba,2021-03-21,32,32,45
Australia,2021-02-19,10,5,16
Australia,2021-02-20,11,5,17
Australia,2021-02-21,11,5,19
Australia,2021-02-22,11,5,20
Australia,2021-02-23,12,5,21
Australia,2021-02-24,12,5,23
Australia,2021-02-25,13,5,24
Australia,2021-02-26,13,5,26
Australia,2021-02-27,14,5,28
Australia,2021-02-28,14,5,29
Australia,2021-03-01,15,5,31
Australia,2021-03-02,15,5,33
Australia,2021-03-03,16,5,35
Australia,2021-03-04,16,5,38
Australia,2021-03-05,17,5,40
Australia,2021-03-06,17,5,42
Australia,2021-03-07,18,5,45
Australia,2021-03-08,19,5,48
Australia,2021-03-09,19,5,50
Australia,2021-03-10,20,5,53
Australia,2021-03-11,20,5,57
Australia,2021-03-12,21,5,60
Australia,2021-03-13,22,5,63
Australia,2021-03-14,22,5,67
Australia,2021-03-15,23,5,71
Australia,2021-03-16,24,5,75
Australia,2021-03-17,24,5,79
Australia,2021-03-18,25,5,84
Australia,2021-03-19,26,4,88
Australia,2021-03-20,27,4,93
Australia,2021-03-21,27,4,99
Austria,2021-02-19,1334,1271,1334
Austria,2021-02-20,1332,1264,1332
Austria,2021-02-21,1329,1257,1329
Austria,2021-02-22,1326,1250,1326
Austria,2021-02-23,1323,1242,1323
Austria,2021-02-24,1320,1234,1320
Austria,2021-02-25,1316,1227,1316
Austria,2021-02-26,1313,1219,1313
Austria,2021-02-27,1309,1211,1309
Austria,2021-02-28,1305,1202,1305
Austria,2021-03-01,1300,1194,1300
Austria,2021-03-02,1296,1186,1296
Austria,2021-03-03,1292,1177,1292
Austria,2021-03-04,1287,1168,1287
Austria,2021-03-05,1282,1160,1282
Austria,2021-03-06,1277,1151,1277
Austria,2021-03-07,1271,1142,1271
Austria,2021-03-08,1266,1133,1266
Austria,2021-03-09,1260,1123,1260
Austria,2021-03-10,1255,1114,1255
Austria,2021-03-11,1249,1105,1249
Austria,2021-03-12,1243,1095,1243
Austria,2021-03-13,1236,1086,1236
Austria,2021-03-14,1230,1076,1230
Austria,2021-03-15,1223,1066,1223
Austria,2021-03-16,1217,1057,1217
Austria,2021-03-17,1210,1047,1210
Austria,2021-03-18,1203,1037,1203
Austria,2021-03-19,1196,1027,1196
Austria,2021-03-20,1188,1017,1188
Austria,2021-03-21,1181,1007,1181
Azerbaijan,2021-02-19,143,132,214
Azerbaijan,2021-02-20,143,132,222
Azerbaijan,2021-02-21,144,132,230
Azerbaijan,2021-02-22,144,131,239
Azerbaijan,2021-02-23,145,131,247
Azerbaijan,2021-02-24,145,131,256
Azerbaijan,2021-02-25,146,130,266
Azerbaijan,2021-02-26,146,130,275
Azerbaijan,2021-02-27,147,130,285
Azerbaijan,2021-02-28,147,129,296
Azerbaijan,2021-03-01,148,129,306
Azerbaijan,2021-03-02,148,128,317
Azerbaijan,2021-03-03,148,128,329
Azerbaijan,2021-03-04,149,127,341
Azerbaijan,2021-03-05,149,127,353
Azerbaijan,2021-03-06,149,126,366
Azerbaijan,2021-03-07,149,126,379
Azerbaijan,2021-03-08,150,125,393
Azerbaijan,2021-03-09,150,125,407
Azerbaijan,2021-03-10,150,124,421
Azerbaijan,2021-03-11,150,123,436
Azerbaijan,2021-03-12,150,123,452
Azerbaijan,2021-03-13,150,122,468
Azerbaijan,2021-03-14,151,121,485
Azerbaijan,2021-03-15,151,121,502
Azerbaijan,2021-03-16,151,120,520
Azerbaijan,2021-03-17,151,119,539
Azerbaijan,2021-03-18,151,119,558
Azerbaijan,2021-03-19,151,118,577
Azerbaijan,2021-03-20,151,117,598
Azerbaijan,2021-03-21,151,117,619
Bahamas,2021-02-19,20,20,20
Bahamas,2021-02-20,20,20,20
Bahamas,2021-02-21,20,20,20
Bahamas,2021-02-22,20,20,20
Bahamas,2021-02-23,20,20,20
Bahamas,2021-02-24,20,20,20
Bahamas,2021-02-25,20,20,20
Bahamas,2021-02-26,20,20,20
Bahamas,2021-02-27,20,20,20
Bahamas,2021-02-28,20,20,20
Bahamas,2021-03-01,20,20,20
Bahamas,2021-03-02,20,20,20
Bahamas,2021-03-03,19,19,19
Bahamas,2021-03-04,19,19,19
Bahamas,2021-03-05,19,19,19
Bahamas,2021-03-06,19,19,19
Bahamas,2021-03-07,19,19,19
Bahamas,2021-03-08,19,19,19
Bahamas,2021-03-09,19,19,19
Bahamas,2021-03-10,19,19,19
Bahamas,2021-03-11,19,19,19
Bahamas,2021-03-12,19,19,19
Bahamas,2021-03-13,18,18,18
Bahamas,2021-03-14,18,18,18
Bahamas,2021-03-15,18,18,18
Bahamas,2021-03-16,18,18,18
Bahamas,2021-03-17,18,18,18
Bahamas,2021-03-18,18,18,18
Bahamas,2021-03-19,18,18,18
Bahamas,2021-03-20,18,18,18
Bahamas,2021-03-21,17,17,17
Bahrain,2021-02-19,604,578,604
Bahrain,2021-02-20,603,575,603
Bahrain,2021-02-21,601,572,601
Bahrain,2021-02-22,600,568,600
Bahrain,2021-02-23,599,565,599
Bahrain,2021-02-24,597,562,597
Bahrain,2021-02-25,596,558,596
Bahrain,2021-02-26,594,555,594
Bahrain,2021-02-27,592,552,592
Bahrain,2021-02-28,590,548,590
Bahrain,2021-03-01,588,544,588
Bahrain,2021-03-02,586,541,586
Bahrain,2021-03-03,584,537,584
Bahrain,2021-03-04,582,533,582
Bahrain,2021-03-05,580,529,580
Bahrain,2021-03-06,578,525,578
Bahrain,2021-03-07,575,521,575
Bahrain,2021-03-08,573,517,573
Bahrain,2021-03-09,570,513,570
Bahrain,2021-03-10,568,509,568
Bahrain,2021-03-11,565,505,565
Bahrain,2021-03-12,562,501,562
Bahrain,2021-03-13,559,497,559
Bahrain,2021-03-14,556,493,556
Bahrain,2021-03-15,553,488,553
Bahrain,2021-03-16,550,484,550
Bahrain,2021-03-17,547,480,547
Bahrain,2021-03-18,544,475,544
Bahrain,2021-03-19,541,471,541
Bahrain,2021-03-20,538,466,538
Bahrain,2021-03-21,534,462,534
Bangladesh,2021-02-19,413,413,413
Bangladesh,2021-02-20,412,412,412
Bangladesh,2021-02-21,411,411,411
Bangladesh,2021-02-22,411,411,411
Bangladesh,2021-02-23,410,410,410
Bangladesh,2021-02-24,409,409,409
Bangladesh,2021-02-25,407,407,407
Bangladesh,2021-02-26,406,406,406
Bangladesh,2021-02-27,405,405,405
Bangladesh,2021-02-28,404,404,404
Bangladesh,2021-03-01,403,403,403
Bangladesh,2021-03-02,401,401,401
Bangladesh,2021-03-03,400,400,400
Bangladesh,2021-03-04,398,398,398
Bangladesh,2021-03-05,397,397,397
Bangladesh,2021-03-06,395,395,395
Bangladesh,2021-03-07,393,393,393
Bangladesh,2021-03-08,392,392,392
Bangladesh,2021-03-09,390,390,390
Bangladesh,2021-03-10,388,388,388
Bangladesh,2021-03-11,386,386,386
Bangladesh,2021-03-12,385,385,385
Bangladesh,2021-03-13,383,383,383
Bangladesh,2021-03-14,381,381,381
Bangladesh,2021-03-15,379,379,379
Bangladesh,2021-03-16,376,376,376
Bangladesh,2021-03-17,374,374,374
Bangladesh,2021-03-18,372,372,372
Bangladesh,2021-03-19,370,370,370
Bangladesh,2021-03-20,368,368,368
Bangladesh,2021-03-21,365,365,365
Barbados,2021-02-19,23,22,23
Barbados,2021-02-20,23,22,23
Barbados,2021-02-21,23,21,23
Barbados,2021-02-22,23,21,23
Barbados,2021-02-23,23,21,23
Barbados,2021-02-24,23,21,23
Barbados,2021-02-25,23,21,23
Barbados,2021-02-26,23,21,23
Barbados,2021-02-27,22,20,23
Barbados,2021-02-28,22,20,23
Barbados,2021-03-01,22,20,22
Barbados,2021-03-02,22,20,22
Barbados,2021-03-03,22,20,22
Barbados,2021-03-04,22,19,22
Barbados,2021-03-05,22,19,22
Barbados,2021-03-06,22,19,22
Barbados,2021-03-07,22,19,22
Barbados,2021-03-08,22,19,22
Barbados,2021-03-09,21,18,22
Barbados,2021-03-10,21,18,22
Barbados,2021-03-11,21,18,21
Barbados,2021-03-12,21,18,21
Barbados,2021-03-13,21,18,21
Barbados,2021-03-14,21,17,21
Barbados,2021-03-15,21,17,21
Barbados,2021-03-16,20,17,21
Barbados,2021-03-17,20,17,21
Barbados,2021-03-18,20,17,20
Barbados,2021-03-19,20,16,20
Barbados,2021-03-20,20,16,20
Barbados,2021-03-21,20,16,20
Belarus,2021-02-19,1534,1463,1713
Belarus,2021-02-20,1536,1461,1731
Belarus,2021-02-21,1539,1458,1748
Belarus,2021-02-22,1541,1454,1766
Belarus,2021-02-23,1543,1451,1783
Belarus,2021-02-24,1545,1447,1801
Belarus,2021-02-25,1546,1444,1818
Belarus,2021-02-26,1548,1440,1835
Belarus,2021-02-27,1549,1435,1852
Belarus,2021-02-28,1550,1431,1869
Belarus,2021-03-01,1550,1426,1885
Belarus,2021-03-02,1551,1422,1902
Belarus,2021-03-03,1551,1417,1918
Belarus,2021-03-04,1551,1411,1935
Belarus,2021-03-05,1550,1406,1951
Belarus,2021-03-06,1550,1400,1967
Belarus,2021-03-07,1549,1395,1982
Belarus,2021-03-08,1548,1389,1998
Belarus,2021-03-09,1547,1382,2014
Belarus,2021-03-10,1545,1376,2029
Belarus,2021-03-11,1543,1370,2044
Belarus,2021-03-12,1541,1363,2059
Belarus,2021-03-13,1539,1356,2073
Belarus,2021-03-14,1537,1349,2088
Belarus,2021-03-15,1534,1342,2102
Belarus,2021-03-16,1531,1335,2116
Belarus,2021-03-17,1528,1327,2130
Belarus,2021-03-18,1525,1319,2144
Belarus,2021-03-19,1521,1312,2157
Belarus,2021-03-20,1518,1304,2170
Belarus,2021-03-21,1514,1295,2183
Belgium,2021-02-19,2184,1894,2184
Belgium,2021-02-20,2180,1870,2180
Belgium,2021-02-21,2176,1846,2176
Belgium,2021-02-22,2171,1822,2171
Belgium,2021-02-23,2166,1797,2166
Belgium,2021-02-24,2161,1773,2161
Belgium,2021-02-25,2155,1749,2155
Belgium,2021-02-26,2149,1726,2149
Belgium,2021-02-27,2143,1702,2143
Belgium,2021-02-28,2136,1678,2136
Belgium,2021-03-01,2129,1654,2129
Belgium,2021-03-02,2122,1631,2122
Belgium,2021-03-03,2115,1607,2115
Belgium,2021-03-04,2107,1584,2107
Belgium,2021-03-05,2099,1561,2099
Belgium,2021-03-06,2090,1537,2090
Belgium,2021-03-07,2082,1514,2082
Belgium,2021-03-08,2073,1491,2073
Belgium,2021-03-09,2064,1469,2064
Belgium,2021-03-10,2054,1446,2054
Belgium,2021-03-11,2045,1423,2045
Belgium,2021-03-12,2035,1401,2035
Belgium,2021-03-13,2024,1379,2024
Belgium,2021-03-14,2014,1357,2014
Belgium,2021-03-15,2003,1335,2003
Belgium,2021-03-16,1992,1313,1992
Belgium,2021-03-17,1981,1291,1981
Belgium,2021-03-18,1970,1270,1970
Belgium,2021-03-19,1958,1248,1958
Belgium,2021-03-20,1946,1227,1946
Belgium,2021-03-21,1934,1206,1934
Belize,2021-02-19,22,21,25
Belize,2021-02-20,22,21,25
Belize,2021-02-21,22,21,25
Belize,2021-02-22,22,21,26
Belize,2021-02-23,22,21,26
Belize,2021-02-24,23,21,26
Belize,2021-02-25,23,21,26
Belize,2021-02-26,23,21,27
Belize,2021-02-27,23,21,27
Belize,2021-02-28,23,21,27
Belize,2021-03-01,23,21,27
Belize,2021-03-02,23,21,28
Belize,2021-03-03,23,20,28
Belize,2021-03-04,23,20,28
Belize,2021-03-05,23,20,28
Belize,2021-03-06,23,20,28
Belize,2021-03-07,23,20,29
Belize,2021-03-08,23,20,29
Belize,2021-03-09,22,20,29
Belize,2021-03-10,22,20,29
Belize,2021-03-11,22,20,29
Belize,2021-03-12,22,20,30
Belize,2021-03-13,22,19,30
Belize,2021-03-14,22,19,30
Belize,2021-03-15,22,19,30
Belize,2021-03-16,22,19,30
Belize,2021-03-17,22,19,30
Belize,2021-03-18,22,19,31
Belize,2021-03-19,22,19,31
Belize,2021-03-20,22,18,31
Belize,2021-03-21,22,18,31
Benin,2021-02-19,148,148,148
Benin,2021-02-20,148,148,148
Benin,2021-02-21,148,148,148
Benin,2021-02-22,147,147,147
Benin,2021-02-23,147,147,147
Benin,2021-02-24,147,147,147
Benin,2021-02-25,146,146,146
Benin,2021-02-26,146,146,146
Benin,2021-02-27,145,145,145
Benin,2021-02-28,145,145,145
Benin,2021-03-01,145,145,145
Benin,2021-03-02,144,144,144
Benin,2021-03-03,143,143,143
Benin,2021-03-04,143,143,143
Benin,2021-03-05,142,142,142
Benin,2021-03-06,142,142,142
Benin,2021-03-07,141,141,141
Benin,2021-03-08,141,141,141
Benin,2021-03-09,140,140,140
Benin,2021-03-10,139,139,139
Benin,2021-03-11,139,139,139
Benin,2021-03-12,138,138,138
Benin,2021-03-13,137,137,137
Benin,2021-03-14,136,136,136
Benin,2021-03-15,136,136,136
Benin,2021-03-16,135,135,135
Benin,2021-03-17,134,134,134
Benin,2021-03-18,133,133,133
Benin,2021-03-19,133,133,133
Benin,2021-03-20,132,132,132
Benin,2021-03-21,131,131,131
Bermuda,2021-02-19,1,1,2
Bermuda,2021-02-20,2,1,2
Bermuda,2021-02-21,2,1,2
Bermuda,2021-02-22,2,1,2
Bermuda,2021-02-23,2,1,2
Bermuda,2021-02-24,2,1,2
Bermuda,2021-02-25,2,1,2
Bermuda,2021-02-26,2,1,3
Bermuda,2021-02-27,2,1,3
Bermuda,2021-02-28,2,1,3
Bermuda,2021-03-01,2,1,3
Bermuda,2021-03-02,2,1,3
Bermuda,2021-03-03,2,1,3
Bermuda,2021-03-04,2,1,3
Bermuda,2021-03-05,2,1,3
Bermuda,2021-03-06,2,1,3
Bermuda,2021-03-07,2,1,3
Bermuda,2021-03-08,2,1,3
Bermuda,2021-03-09,2,1,3
Bermuda,2021-03-10,2,1,3
Bermuda,2021-03-11,2,1,3
Bermuda,2021-03-12,2,1,4
Bermuda,2021-03-13,2,1,4
Bermuda,2021-03-14,2,1,4
Bermuda,2021-03-15,2,1,4
Bermuda,2021-03-16,2,1,4
Bermuda,2021-03-17,2,0,4
Bermuda,2021-03-18,2,0,4
Bermuda,2021-03-19,2,0,4
Bermuda,2021-03-20,2,0,4
Bermuda,2021-03-21,2,0,4
Bhutan,2021-02-19,2,2,2
Bhutan,2021-02-20,2,2,2
Bhutan,2021-02-21,2,2,2
Bhutan,2021-02-22,2,2,2
Bhutan,2021-02-23,2,2,2
Bhutan,2021-02-24,2,2,2
Bhutan,2021-02-25,2,2,2
Bhutan,2021-02-26,2,2,2
Bhutan,2021-02-27,2,2,2
Bhutan,2021-02-28,2,2,2
Bhutan,2021-03-01,2,2,2
Bhutan,2021-03-02,2,2,2
Bhutan,2021-03-03,2,2,2
Bhutan,2021-03-04,2,2,2
Bhutan,2021-03-05,2,2,2
Bhutan,2021-03-06,2,2,2
Bhutan,2021-03-07,2,2,2
Bhutan,2021-03-08,2,2,2
Bhutan,2021-03-09,2,2,2
Bhutan,2021-03-10,2,2,2
Bhutan,2021-03-11,2,2,2
Bhutan,2021-03-12,2,2,2
Bhutan,2021-03-13,2,2,2
Bhutan,2021-03-14,2,1,2
Bhutan,2021-03-15,2,1,2
Bhutan,2021-03-16,2,1,2
Bhutan,2021-03-17,2,1,2
Bhutan,2021-03-18,2,1,2
Bhutan,2021-03-19,2,1,2
Bhutan,2021-03-20,2,1,2
Bhutan,2021-03-21,2,1,2
Bolivia,2021-02-19,2230,1573,3347
Bolivia,2021-02-20,2286,1570,3541
Bolivia,2021-02-21,2343,1567,3745
Bolivia,2021-02-22,2402,1564,3961
Bolivia,2021-02-23,2461,1560,4189
Bolivia,2021-02-24,2522,1556,4429
Bolivia,2021-02-25,2584,1552,4682
Bolivia,2021-02-26,2647,1548,4949
Bolivia,2021-02-27,2711,1543,5230
Bolivia,2021-02-28,2776,1538,5527
Bolivia,2021-03-01,2842,1533,5839
Bolivia,2021-03-02,2909,1528,6169
Bolivia,2021-03-03,2978,1523,6516
Bolivia,2021-03-04,3047,1517,6882
Bolivia,2021-03-05,3118,1511,7267
Bolivia,2021-03-06,3190,1505,7673
Bolivia,2021-03-07,3263,1499,8100
Bolivia,2021-03-08,3338,1493,8550
Bolivia,2021-03-09,3413,1486,9024
Bolivia,2021-03-10,3490,1479,9523
Bolivia,2021-03-11,3568,1472,10048
Bolivia,2021-03-12,3647,1465,10601
Bolivia,2021-03-13,3727,1458,11182
Bolivia,2021-03-14,3809,1450,11794
Bolivia,2021-03-15,3891,1443,12437
Bolivia,2021-03-16,3975,1435,13114
Bolivia,2021-03-17,4060,1427,13826
Bolivia,2021-03-18,4146,1418,14574
Bolivia,2021-03-19,4234,1410,15361
Bolivia,2021-03-20,4322,1401,16188
Bolivia,2021-03-21,4412,1393,17057
Bosnia and Herzegovina,2021-02-19,479,455,488
Bosnia and Herzegovina,2021-02-20,478,452,488
Bosnia and Herzegovina,2021-02-21,477,449,488
Bosnia and Herzegovina,2021-02-22,476,447,488
Bosnia and Herzegovina,2021-02-23,475,444,487
Bosnia and Herzegovina,2021-02-24,474,441,487
Bosnia and Herzegovina,2021-02-25,473,438,486
Bosnia and Herzegovina,2021-02-26,471,435,485
Bosnia and Herzegovina,2021-02-27,470,432,485
Bosnia and Herzegovina,2021-02-28,468,429,484
Bosnia and Herzegovina,2021-03-01,467,426,483
Bosnia and Herzegovina,2021-03-02,465,423,482
Bosnia and Herzegovina,2021-03-03,464,420,481
Bosnia and Herzegovina,2021-03-04,462,417,480
Bosnia and Herzegovina,2021-03-05,460,414,479
Bosnia and Herzegovina,2021-03-06,458,410,478
Bosnia and Herzegovina,2021-03-07,456,407,476
Bosnia and Herzegovina,2021-03-08,454,404,475
Bosnia and Herzegovina,2021-03-09,452,400,474
Bosnia and Herzegovina,2021-03-10,450,397,472
Bosnia and Herzegovina,2021-03-11,448,394,471
Bosnia and Herzegovina,2021-03-12,446,390,469
Bosnia and Herzegovina,2021-03-13,444,387,467
Bosnia and Herzegovina,2021-03-14,441,383,466
Bosnia and Herzegovina,2021-03-15,439,380,464
Bosnia and Herzegovina,2021-03-16,437,376,462
Bosnia and Herzegovina,2021-03-17,434,373,460
Bosnia and Herzegovina,2021-03-18,432,369,458
Bosnia and Herzegovina,2021-03-19,429,365,456
Bosnia and Herzegovina,2021-03-20,426,362,454
Bosnia and Herzegovina,2021-03-21,424,358,452
Botswana,2021-02-19,1093,1093,1132
Botswana,2021-02-20,1091,1091,1133
Botswana,2021-02-21,1089,1089,1134
Botswana,2021-02-22,1086,1086,1135
Botswana,2021-02-23,1084,1084,1135
Botswana,2021-02-24,1081,1081,1135
Botswana,2021-02-25,1078,1078,1136
Botswana,2021-02-26,1075,1075,1135
Botswana,2021-02-27,1072,1072,1135
Botswana,2021-02-28,1069,1069,1135
Botswana,2021-03-01,1065,1065,1134
Botswana,2021-03-02,1062,1062,1133
Botswana,2021-03-03,1058,1058,1133
Botswana,2021-03-04,1054,1054,1131
Botswana,2021-03-05,1050,1050,1130
Botswana,2021-03-06,1046,1046,1129
Botswana,2021-03-07,1042,1042,1127
Botswana,2021-03-08,1037,1037,1125
Botswana,2021-03-09,1033,1033,1123
Botswana,2021-03-10,1028,1028,1121
Botswana,2021-03-11,1023,1023,1119
Botswana,2021-03-12,1018,1018,1117
Botswana,2021-03-13,1013,1013,1114
Botswana,2021-03-14,1008,1008,1111
Botswana,2021-03-15,1002,1002,1108
Botswana,2021-03-16,997,997,1105
Botswana,2021-03-17,991,991,1102
Botswana,2021-03-18,985,985,1099
Botswana,2021-03-19,980,980,1095
Botswana,2021-03-20,974,974,1091
Botswana,2021-03-21,968,968,1088
Brazil,2021-02-19,52745,52745,57586
